finess,zone,A1,A2,A3,A4,A5,A6
510000185,020000287,"         0,7","         1,8","         3,1","         6,4","         3,5",          13
510000193,020000287,"         0,8","         0,5","         3,1","         6,4","         3,5",          13
510000516,020000287,"         0,5","         0,8","         3,3","         4,6","         3,5",          13
600100721,020000287,"         0,7",          15,"        12,7","         2,6","         8,1",          13
600100754,020000287,"         4,7","         5,1",           1,"         4,5","         8,1",          13
600101984,020000287,"         0,1","         5,1",           1,"         4,5","         8,1",          13
750100042,020000287,"         0,2","         5,1",           1,"         4,5","         8,1",          13
800000044,020000287,"         3,3","         7,7","         2,7",           3,"         4,8",           3
800009920,020000287,"         0,2","         1,3","         2,7",           3,"         4,8",           3
800013179,020000287,"         2,8","         1,3","         2,7",           3,"         4,8",           3
920000684,020000287,           1,"         1,3","         2,7",           3,"         4,8",           3
940100068,020000287,"         0,1","         1,3","         2,7",           3,"         4,8",           3
020000048,020000360,"         0,8","         1,3","         2,7",           3,"         4,8",           3
020000063,020000360,"         1,2","         4,3","         5,7","         1,7","         4,8",           3
020000253,020000360,"        20,6","         1,9","         4,5","        11,5","         4,8",           3
020000261,020000360,"        41,4","        26,3",          13,"        32,8","         4,8",           3
020000287,020000360,"         2,7","         5,8","        13,5","         1,3","         4,8",           3
020000360,020000360,           7,"         9,7",,"        25,9","        13,9",
020004404,020000360,"         2,8","        12,2",           7,"         1,9","        13,9",
020010047,020000360,           2,"         2,8",           7,"         1,9","        13,9",
510000029,020000360,"         6,8","         8,5","         2,7","         8,8","        13,9",
510000185,020000360,"         3,8","         6,3","         5,2","         9,1","        13,9",
510000193,020000360,"         1,4","         3,2","         3,9","         1,7","        13,9",
510000516,020000360,           1,"         5,8","         3,9","         1,7","        13,9",
510012040,020000360,           2,"         6,4","         1,3","         1,7","        13,9",
600100721,020000360,"         1,9","         6,4","         1,3","         1,7","        13,9",
600100754,020000360,"         1,5","         6,4","         1,3","         1,7","        13,9",
800000044,020000360,"         1,8","         0,6","         1,3","         1,7","        13,9",
020000063,020004404,          13,"         0,6","         1,3","         1,7","        13,9",
020000253,020004404,,"         0,6","         1,3","         1,7","        13,9",
020000261,020004404,           5,"         3,4","         7,4","         4,5","         6,2","        27,6"
020000287,020004404,           9,"         3,4","         7,4","         4,5","         6,2","        27,6"
020000360,020004404,"         0,7","         2,5","        10,1","         2,2","         6,2","        27,6"
020004404,020004404,          62,"        42,5","        69,6","        39,2","        33,1",
020010047,020004404,"         5,7","        42,5","        69,6","        39,2","        33,1",
510000029,020004404,"         9,8","        12,2","         3,8","         5,2","        15,2","         8,2"
510000185,020004404,           4,"         9,6","         5,9","         7,7","        10,1","        15,8"
510000193,020004404,"         0,8","         4,7","         2,5","         4,6",           2,"        15,8"
510000243,020004404,"         0,4","         2,1","         0,6","         4,6",           2,"        15,8"
510000516,020004404,"         2,6","         2,3","         1,6","        15,5","         9,3","        15,8"
510012040,020004404,"         2,6","         3,3","        12,6","         2,9","         9,3","        15,8"
510024300,020004404,"         1,4","         3,3","        12,6","         2,9","         9,3","        15,8"
600100721,020004404,"         2,2","         3,3","        12,6","         2,9","         9,3","        15,8"
750100075,020004404,"         0,1","         3,3","        12,6","         2,9","         9,3","        15,8"
750100125,020004404,"         0,9","         1,1","         0,2","         0,4","         9,3","        15,8"
750160012,020004404,           1,"         1,1","         0,2","         0,4","         9,3","        15,8"
750300360,020004404,"         0,6","         0,5","         0,2","         0,4","         9,3","        15,8"
770110013,020004404,"         1,3","         0,5","         0,2","         0,4","         9,3","        15,8"
770170017,020004404,"         0,3","         0,5","         0,2","         0,4","         9,3","        15,8"
770700185,020004404,"         1,2","         1,5","         3,9","         1,4","         1,3","        15,8"
770813400,020004404,"         1,1",           1,"         3,9","         1,4","         1,3","        15,8"
920300753,020004404,"         0,8",           1,"         3,9","         1,4","         1,3","        15,8"
940000664,020004404,"         1,9",           1,"         3,9","         1,4","         1,3","        15,8"
940100068,020004404,"         0,1",           1,"         3,9","         1,4","         1,3","        15,8"
940300031,020004404,"         0,6",           1,"         3,9","         1,4","         1,3","        15,8"
020000063,020004495,"         6,2","         4,9","         0,8","         7,1","         6,1","        15,8"
020000071,020004495,"         2,2","         4,9","         0,8","         7,1","         6,1","        15,8"
020000253,020004495,"        10,1","         6,3",           6,"         5,4","         3,7","        15,8"
020000360,020004495,"         1,3","         6,3",           6,"         5,4","         3,7","        15,8"
